subject,exam_type,question,option_a,option_b,option_c,option_d,correct_answer,explanation,year
Physics,WAEC,The S.I. Unit of sound energy is,Hz,cb,db,J,D,,2018
Physics,NECO,The S.I. Unit of sound energy is,Hz,cb,db,J,D,,2018
Physics,WAEC,The general definition of elastic modulus is,stress/strain,strain/stress,stress × strain,√(stress × strain),A,,2018
Physics,NECO,The general definition of elastic modulus is,stress/strain,strain/stress,stress × strain,√(stress × strain),A,,2018
Physics,WAEC,Which distance measures the atmospheric pressure on a simple barometer?,PQ,QR,RS,QS,D,,2018
Physics,NECO,Which distance measures the atmospheric pressure on a simple barometer?,PQ,QR,RS,QS,D,,2018
Physics,WAEC,The property of a body to remain at rest or to continue in uniform motion in a straight line is called,Momentum,Inertia,Impulse,Energy,B,,2018
Physics,NECO,The property of a body to remain at rest or to continue in uniform motion in a straight line is called,Momentum,Inertia,Impulse,Energy,B,,2018
Physics,WAEC,"During a training session, two footballers pass a ball repeatedly. The to-and-fro motion of the ball is not simple harmonic because (I) acceleration not directed to a fixed point, (II) restoring force not directed to centre, (III) acceleration not proportional to displacement. Which are correct?",I and III only,I and II only,II and III only,"I, II and III",A,,2018
Physics,NECO,"During a training session, two footballers pass a ball repeatedly. The to-and-fro motion of the ball is not simple harmonic because (I) acceleration not directed to a fixed point, (II) restoring force not directed to centre, (III) acceleration not proportional to displacement. Which are correct?",I and III only,I and II only,II and III only,"I, II and III",A,,2018
Physics,WAEC,A dam is able to hold a large quantity of water because its wall is,thickest at the top,thickest at the bottom,thickest in the middle,of the same thickness throughout,C,,2018
Physics,NECO,A dam is able to hold a large quantity of water because its wall is,thickest at the top,thickest at the bottom,thickest in the middle,of the same thickness throughout,C,,2018
Physics,WAEC,A body of mass m moving round a circle of radius r with uniform speed v experiences a centripetal force F. The work done by the centripetal force on it is,Fv,zero,Fmr,Fr/m,B,,2018
Physics,NECO,A body of mass m moving round a circle of radius r with uniform speed v experiences a centripetal force F. The work done by the centripetal force on it is,Fv,zero,Fmr,Fr/m,B,,2018
Physics,WAEC,A block is acted upon by two horizontal forces 1N and 10N. The block accelerated at 1.5 ms⁻². Calculate the mass of the block,6 kg,9 kg,10 kg,15 kg,C,,2018
Physics,NECO,A block is acted upon by two horizontal forces 1N and 10N. The block accelerated at 1.5 ms⁻². Calculate the mass of the block,6 kg,9 kg,10 kg,15 kg,C,,2018
Physics,WAEC,Which of the following quantities are dimensionally independent? I. dielectric II. Momentum constant III. Efficiency IV. Refractive index,I and II,"B, I, II, III and IV","C, II, III and IV","I, II, III and IV",A,,2018
Physics,NECO,Which of the following quantities are dimensionally independent? I. dielectric II. Momentum constant III. Efficiency IV. Refractive index,I and II,"B, I, II, III and IV","C, II, III and IV","I, II, III and IV",A,,2018
Physics,WAEC,"A body is projected with initial velocity u at angle to horizontal. If R_max is maximum range, what does u²/R_max represent?",the vertical distance covered,acceleration due to gravity,the horizontal distance covered,the acceleration of the body,B,,2018
Physics,NECO,"A body is projected with initial velocity u at angle to horizontal. If R_max is maximum range, what does u²/R_max represent?",the vertical distance covered,acceleration due to gravity,the horizontal distance covered,the acceleration of the body,B,,2018
Physics,WAEC,An object at rest is said to possess,potential energy,kinetic energy,chemical energy,electrical energy,A,,2018
Physics,NECO,An object at rest is said to possess,potential energy,kinetic energy,chemical energy,electrical energy,A,,2018
Physics,WAEC,"According to Newton's law of cooling, the heat energy lost per unit area of a body depends on: I. Surface area, II. Nature of surface, III. Temperature of surface, IV. Excess temperature over surroundings. Which are correct?",I and II only,II and IV only,"I, II and III","D, I, II and IV",D,,2018
Physics,NECO,"According to Newton's law of cooling, the heat energy lost per unit area of a body depends on: I. Surface area, II. Nature of surface, III. Temperature of surface, IV. Excess temperature over surroundings. Which are correct?",I and II only,II and IV only,"I, II and III","D, I, II and IV",D,,2018
Physics,WAEC,The graph of density against temperature for water is correctly illustrated by which graph?,Graph A,Graph B,Graph C,Graph D,B,,2018
Physics,NECO,The graph of density against temperature for water is correctly illustrated by which graph?,Graph A,Graph B,Graph C,Graph D,B,,2018
Physics,WAEC,"A football is kicked at 45° to horizontal over a defence line at 15 ms⁻¹. Calculate magnitude of horizontal velocity at highest point (neglect friction, g=10 ms⁻²)",0.0 ms⁻¹,5.6 ms⁻¹,10.6 ms⁻¹,15.0 ms⁻¹,C,,2018
Physics,NECO,"A football is kicked at 45° to horizontal over a defence line at 15 ms⁻¹. Calculate magnitude of horizontal velocity at highest point (neglect friction, g=10 ms⁻²)",0.0 ms⁻¹,5.6 ms⁻¹,10.6 ms⁻¹,15.0 ms⁻¹,C,,2018
Physics,WAEC,The ice point on the absolute scale of temperature is,0K,32K,100K,273K,D,,2018
Physics,NECO,The ice point on the absolute scale of temperature is,0K,32K,100K,273K,D,,2018
Physics,WAEC,Which of the following factors does NOT increase the rate of evaporation of water in a lake?,Increase in pressure of the atmosphere,Rise in temperature,Increase in surface area of the lake,Increase in speed of wind,A,,2018
Physics,NECO,Which of the following factors does NOT increase the rate of evaporation of water in a lake?,Increase in pressure of the atmosphere,Rise in temperature,Increase in surface area of the lake,Increase in speed of wind,A,,2018
Physics,WAEC,The bob of a simple pendulum takes 8.0s to complete 10 oscillations. Determine the frequency of the bob,0.80 Hz,1.25 Hz,7.50 Hz,8.00 Hz,B,,2018
Physics,NECO,The bob of a simple pendulum takes 8.0s to complete 10 oscillations. Determine the frequency of the bob,0.80 Hz,1.25 Hz,7.50 Hz,8.00 Hz,B,,2018
Physics,WAEC,"A mercury-in-glass thermometer with markings 0°C and 100°C, and reading at 3 cm. Use data: room temperature is",3.3°C,7.00°C,13.00°C,30.00°C,A,,2018
Physics,NECO,"A mercury-in-glass thermometer with markings 0°C and 100°C, and reading at 3 cm. Use data: room temperature is",3.3°C,7.00°C,13.00°C,30.00°C,A,,2018
Physics,WAEC,Frequency is measured in,metre per second,second,hertz,farad,C,,2018
Physics,NECO,Frequency is measured in,metre per second,second,hertz,farad,C,,2018
Physics,WAEC,Which of the following electromagnetic waves is most energetic?,Radio waves,X-rays,Gamma rays,Ultra-violet rays,C,,2018
Physics,NECO,Which of the following electromagnetic waves is most energetic?,Radio waves,X-rays,Gamma rays,Ultra-violet rays,C,,2018
Physics,WAEC,Rainbow formation illustrates,Splits into three components after rainfall,Is dispersed by glass prisms,Splits into its constituent colours before rainfall,Is dispersed into its constituent colours by raindrops,D,,2018
Physics,NECO,Rainbow formation illustrates,Splits into three components after rainfall,Is dispersed by glass prisms,Splits into its constituent colours before rainfall,Is dispersed into its constituent colours by raindrops,D,,2018
Physics,WAEC,The lens illustrated can best be described as,converging meniscus,plano-convex,diverging meniscus,bio-convex,C,,2018
Physics,NECO,The lens illustrated can best be described as,converging meniscus,plano-convex,diverging meniscus,bio-convex,C,,2018
Physics,WAEC,Two plane mirrors are inclined such that an object between them has 11 images. Determine the angle of inclination,30°,45°,60°,90°,A,,2018
Physics,NECO,Two plane mirrors are inclined such that an object between them has 11 images. Determine the angle of inclination,30°,45°,60°,90°,A,,2018
Physics,WAEC,The pitch of a note is not affected by,frequency,tension in a vibrating string,mass of a vibrating string,amplitude of sound wave,D,,2018
Physics,NECO,The pitch of a note is not affected by,frequency,tension in a vibrating string,mass of a vibrating string,amplitude of sound wave,D,,2018
Physics,WAEC,"When two flat plate conductors are arranged with equal and opposite charges separated by a dielectric, they form a/an",electroscope,electrophorus,capacitor,cell,C,,2018
Physics,NECO,"When two flat plate conductors are arranged with equal and opposite charges separated by a dielectric, they form a/an",electroscope,electrophorus,capacitor,cell,C,,2018
